Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
2018,26,GNB,NFL,WR,15,15,169,111,1386,64,911,8.2,475,4.3,11.3,4,27.8,5,3.0,0,116.6,0,0,0,0,,0,,0,,PB
2019,27,GNB,NFL,WR,12,12,127,83,997,54,609,7.3,388,4.7,10.0,3,27.7,7,5.5,1,99.1,0,0,0,0,,0,,0,,PB
2020,28,GNB,NFL,WR,14,14,149,115,1374,73,777,6.8,597,5.2,8.9,2,57.5,1,0.7,3,136.0,0,0,0,0,,0,,0,,"PB,AP-1"
2021,29,GNB,NFL,WR,16,16,169,123,1553,84,961,7.8,592,4.8,9.6,5,24.6,3,1.8,3,115.3,0,0,0,0,,0,,0,,"PB,AP-1"
2022,30,LVR,NFL,WR,17,17,180,100,1516,65,1023,10.2,493,4.9,11.8,9,11.1,7,3.9,6,95.5,3,-1,0,-1,-0.3,0,0.0,1,3.0,"PB,AP-1"
2023,31,LVR,NFL,WR,17,17,175,103,1144,59,808,7.8,336,3.3,10.9,2,51.5,8,4.6,6,79.3,0,0,0,0,,0,,0,,
2024,32,2TM,NFL,WR,14,14,141,85,1063,49,590,6.9,473,5.6,8.2,7,12.1,6,4.3,3,93.8,0,0,0,0,,0,,0,,
2024,32,LVR,NFL,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,0,0,0,0,,0,,0,,
2024,32,NYJ,NFL,WR,11,11,114,67,854,39,426,6.4,428,6.4,7.9,7,9.6,5,4.4,2,95.4,0,0,0,0,,0,,0,,
7 Yrs,,105,105,1110,720,9033,448,5679,7.9,3354,4.7,10.2,32,22.5,37,3.3,22,104.9,3,-1,0,-1,-0.3,0,0.0,1,3.0,,,,
17 Game Avg,,17,17,180,117,1462,73,919,7.9,543,4.7,10.2,5,22.5,6,3.3,4,104.9,0,0,0,0,-0.3,0,0.0,0,3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB (4 Yrs),,57,57,614,432,5310,275,3258,7.5,2052,4.8,10.0,14,30.9,16,2.6,7,117.5,0,0,0,0,,0,,0,,,,,
LVR (3 Yrs),,37,37,382,221,2869,134,1995,9.0,874,4.0,11.2,11,20.1,16,4.2,13,87.5,3,-1,0,-1,-0.3,0,0.0,1,3.0,,,,
NYJ (1 Yr),,11,11,114,67,854,39,426,6.4,428,6.4,7.9,7,9.6,5,4.4,2,95.4,0,0,0,0,,0,,0,,,,,
