Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YAC,ADOT,BrkTkl,Drop,Drop%,Int,Rat,Awards
2018,21,BAL,NFL,QB,16,7,147,695,45,499,3.4,196,1.3,3,49.0,2,0,0,0,0,0,-1.0,0,0,0.0,0,39.6,
2019,22,BAL,NFL,QB,15,15,176,1206,71,867,4.9,339,1.9,3,58.7,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-1,AP OPoY-2"
2020,23,BAL,NFL,QB,15,15,159,1005,56,800,5.0,205,1.3,8,19.9,0,0,0,0,0,0,,0,0,,0,,
2021,24,BAL,NFL,QB,12,12,133,767,48,485,3.6,282,2.1,11,12.1,0,0,0,0,0,0,,0,0,,0,,PB
2022,25,BAL,NFL,QB,12,12,112,764,47,542,4.8,222,2.0,14,8.0,0,0,0,0,0,0,,0,0,,0,,
2023,26,BAL,NFL,QB,16,16,148,821,48,592,4.0,229,1.5,14,10.6,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
2024,27,BAL,NFL,QB,17,17,139,915,47,666,4.8,249,1.8,7,19.9,0,0,0,0,0,0,,0,0,,0,,"PB,AP-1,AP MVP-2,AP OPoY-2"
7 Yrs,,103,94,1014,6173,362,4451,4.4,1722,1.7,60,16.9,2,0,0,0,0,0,-1.0,0,0,0.0,0,39.6,,,,
17 Game Avg,,17,16,167,1019,60,735,4.4,284,1.7,10,16.9,0,0,0,0,0,0,-1.0,0,0,0.0,0,39.6,,,,
