Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2008,25,GNB,NFL,QB,16,16,111,109,113,112,108,113,108,100,113,
2009,26,GNB,NFL,QB,16,16,123,114,127,121,113,118,123,81,124,PB
2010,27,GNB,NFL,QB,15,15,121,119,120,119,116,119,109,100,119,AP OPoY-5
2011,28,GNB,NFL,QB,15,15,144,139,150,147,127,153,127,96,149,"PB,AP-1,AP MVP-1,AP OPoY-2"
2012,29,GNB,NFL,QB,16,16,113,107,123,118,123,130,121,83,128,"PB,AP-2,AP OPoY-3"
2013,30,GNB,NFL,QB,9,9,138,132,130,127,119,117,110,97,124,
2014,31,GNB,NFL,QB,16,16,129,129,135,135,113,132,127,110,132,"PB,AP-1,AP MVP-1,AP OPoY-2"
2015,32,GNB,NFL,QB,16,16,87,84,102,98,91,112,118,89,105,PB
2016,33,GNB,NFL,QB,16,16,103,104,116,116,112,126,122,105,122,"PB,AP MVP-5,AP OPoY-2"
2017,34,GNB,NFL,QB,7,7,97,90,103,98,105,126,97,84,110,
2018,35,GNB,NFL,QB,16,16,105,101,115,111,95,97,134,93,110,PB
2019,36,GNB,NFL,QB,16,16,95,96,106,105,90,99,127,104,104,PB
2020,37,GNB,NFL,QB,16,16,120,124,134,135,127,146,126,121,140,"PB,AP-1,AP MVP-1,AP OPoY-2"
2021,38,GNB,NFL,QB,16,16,113,114,124,123,117,124,130,106,128,"PB,AP-1,AP MVP-1,AP OPoY-4"
2022,39,GNB,NFL,QB,17,17,94,96,98,99,100,106,102,106,102,
,,,,,,,,,,,,,,,,
2024,41,NYJ,NFL,QB,17,17,92,93,98,98,93,106,107,104,100,AP CPoY-7
20 Yrs,,248,241,110,108,117,115,108,119,118,98,118,,,,
,,,,,,,,,,,,,,,,
GNB (18 Yrs),,230,223,111,109,119,117,109,120,119,98,120,,,,
NYJ (2 Yrs),,18,18,92,93,98,98,93,106,107,104,100,,,,
