Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2019,23,SFO,NFL,WR,15,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2021,25,SFO,NFL,WR,16,15,0,0,0,0,0,0,4,1,0,0,0.0,1,1,0,0,0,0,"PB,AP-1"
2022,26,SFO,NFL,WR,13,12,0,0,0,0,0,0,3,1,0,0,0.0,1,1,0,0,0,0,
2023,27,SFO,NFL,WR,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
2024,28,SFO,NFL,WR,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
6 Yrs,,81,73,0,0,0,0,0,0,12,3,0,0,0.0,2,2,0,0,0,0,,,,
17 Game Avg,,17,15,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,,,
