Year,Tm,Level,Pos,Voters
2019,1st Tm,All-Conf.,OLB,Pro Football Writers
2019,1st Tm,,DE,Associated Press
2019,2nd Tm,,LB,Associated Press
2019,1st Tm,,OLB,Pro Football Writers
2019,1st Tm,,DE,Pro Football Focus
2019,1st Tm,,LB,Sporting News
2020,1st Tm,All-Conf.,OLB,Pro Football Writers
2020,1st Tm,,DE,Associated Press
2020,1st Tm,,OLB,Pro Football Writers
2020,1st Tm,,DE,Pro Football Focus
2020,1st Tm,,LB,Sporting News
2021,1st Tm,All-Conf.,OLB,Pro Football Writers
2021,1st Tm,,EDGE,Associated Press
2021,1st Tm,,OLB,Pro Football Writers
2021,2nd Tm,,EDGE,Pro Football Focus
2021,1st Tm,,LB,Sporting News
2023,1st Tm,All-Conf.,OLB,Pro Football Writers
2023,1st Tm,,EDGE,Associated Press
2023,1st Tm,,OLB,Pro Football Writers
2023,1st Tm,,LB,Sporting News
2024,1st Tm,All-Conf.,OLB,Pro Football Writers
2024,2nd Tm,,EDGE,Associated Press
2024,1st Tm,,OLB,Pro Football Writers
2024,1st Tm,,EDGE,Pro Football Focus
2024,1st Tm,,LB,Sporting News
