Year,Coach,Tm,Voting
2024,Kevin O'Connell,Minnesota Vikings,Voting
2023,Kevin Stefanski,Cleveland Browns,Voting
2022,Brian Daboll,New York Giants,Voting
2021,Mike Vrabel,Tennessee Titans,Voting
2020,Kevin Stefanski,Cleveland Browns,Voting
2019,John Harbaugh,Baltimore Ravens,Voting
2018,Matt Nagy,Chicago Bears,Voting
2017,Sean McVay,Los Angeles Rams,Voting
2016,Jason Garrett,Dallas Cowboys,Voting
2015,Ron Rivera,Carolina Panthers,Voting
2014,Bruce Arians,Arizona Cardinals,Voting
2013,Ron Rivera,Carolina Panthers,Voting
2012,Bruce Arians,Indianapolis Colts,Voting
2011,Jim Harbaugh,San Francisco 49ers,Voting
2010,Bill Belichick,New England Patriots,Voting
2009,Marvin Lewis,Cincinnati Bengals,Voting
2008,Mike Smith,Atlanta Falcons,Voting
2007,Bill Belichick,New England Patriots,Voting
2006,Sean Payton,New Orleans Saints,Voting
2005,Lovie Smith,Chicago Bears,Voting
2004,Marty Schottenheimer,San Diego Chargers,Voting
2003,Bill Belichick,New England Patriots,Voting
2002,Andy Reid,Philadelphia Eagles,Voting
2001,Dick Jauron,Chicago Bears,Voting
2000,Jim Haslett,New Orleans Saints,Voting
Year,Coach,Tm,Voting
1999,Dick Vermeil,St. Louis Rams,Voting
1998,Dan Reeves,Atlanta Falcons,Voting
1997,Jim Fassel,New York Giants,Voting
1996,Dom Capers,Carolina Panthers,Voting
1995,Ray Rhodes,Philadelphia Eagles,Voting
1994,Bill Parcells,New England Patriots,Voting
1993,Dan Reeves,New York Giants,Voting
1992,Bill Cowher,Pittsburgh Steelers,Voting
1991,Wayne Fontes,Detroit Lions,Voting
1990,Jimmy Johnson,Dallas Cowboys,Voting
1989,Lindy Infante,Green Bay Packers,Voting
1988,Mike Ditka,Chicago Bears,Voting
1987,Jim Mora,New Orleans Saints,Voting
1986,Bill Parcells,New York Giants,Voting
1985,Mike Ditka,Chicago Bears,Voting
1984,Chuck Knox,Seattle Seahawks,Voting
1983,Joe Gibbs,Washington Redskins,Voting
1982,Joe Gibbs,Washington Redskins,Voting
1981,Bill Walsh,San Francisco 49ers,Voting
1980,Chuck Knox,Buffalo Bills,Voting
1979,Jack Pardee,Washington Redskins,Voting
1978,Jack Patera,Seattle Seahawks,Voting
1977,Red Miller,Denver Broncos,Voting
1976,Forrest Gregg,Cleveland Browns,Voting
1975,Ted Marchibroda,Baltimore Colts,Voting
Year,Coach,Tm,Voting
1974,Don Coryell,St. Louis Cardinals,Voting
1973,Chuck Knox,Los Angeles Rams,Voting
1972,Don Shula,Miami Dolphins,Voting
1971,George Allen,Washington Redskins,Voting
1970,Paul Brown,Cincinnati Bengals,Voting
1969,Bud Grant,Minnesota Vikings,Voting
1968,Don Shula,Baltimore Colts,Voting
1967,Don Shula,Baltimore Colts,Voting
1967,George Allen,Los Angeles Rams,Voting
1966,Tom Landry,Dallas Cowboys,Voting
1965,George Halas,Chicago Bears,Voting
1964,Don Shula,Baltimore Colts,Voting
1963,George Halas,Chicago Bears,Voting
1962,Allie Sherman,New York Giants,Voting
1961,Allie Sherman,New York Giants,Voting
1959,Vince Lombardi,Green Bay Packers,Voting
1958,Weeb Ewbank,Baltimore Colts,Voting
1957,George Wilson,Detroit Lions,Voting
